2020-07-30 05:58:47 status half-installed base-files:amd64 10.1ubuntu2
2020-07-30 05:58:47 status half-installed base-files:amd64 10.1ubuntu2
2020-07-30 05:58:47 status unpacked base-files:amd64 10.1ubuntu2
2020-07-30 05:58:47 status unpacked base-files:amd64 10.1ubuntu2
2020-07-30 05:58:47 upgrade base-passwd:amd64 3.5.44 3.5.44
2020-07-30 05:58:47 status half-configured base-passwd:amd64 3.5.44
2020-07-30 05:58:47 status unpacked base-passwd:amd64 3.5.44
2020-07-30 05:58:47 status half-installed base-passwd:amd64 3.5.44
2020-07-30 05:58:47 status half-installed base-passwd:amd64 3.5.44
2020-07-30 05:58:47 status unpacked base-passwd:amd64 3.5.44
2020-07-30 05:58:47 status unpacked base-passwd:amd64 3.5.44
2020-07-30 05:58:47 install bash:amd64 <none> 4.4.18-2ubuntu1
2020-07-30 05:58:47 status half-installed bash:amd64 4.4.18-2ubuntu1
2020-07-30 05:58:48 status unpacked bash:amd64 4.4.18-2ubuntu1
2020-07-30 05:58:48 status unpacked bash:amd64 4.4.18-2ubuntu1
2020-07-30 05:58:48 install bsdutils:amd64 <none> 1:2.31.1-0.4ubuntu3
2020-07-30 05:58:48 status half-installed bsdutils:amd64 1:2.31.1-0.4ubuntu3
2020-07-30 05:58:48 status unpacked bsdutils:amd64 1:2.31.1-0.4ubuntu3
2020-07-30 05:58:48 status unpacked bsdutils:amd64 1:2.31.1-0.4ubuntu3
2020-07-30 05:58:48 install coreutils:amd64 <none> 8.28-1ubuntu1
2020-07-30 05:58:48 status half-installed coreutils:amd64 8.28-1ubuntu1
2020-07-30 05:58:49 status unpacked coreutils:amd64 8.28-1ubuntu1
2020-07-30 05:58:49 status unpacked coreutils:amd64 8.28-1ubuntu1
2020-07-30 05:58:49 install dash:amd64 <none> 0.5.8-2.10
2020-07-30 05:58:49 status half-installed dash:amd64 0.5.8-2.10
2020-07-30 05:58:49 status unpacked dash:amd64 0.5.8-2.10
2020-07-30 05:58:49 status unpacked dash:amd64 0.5.8-2.10
2020-07-30 05:58:49 upgrade debconf:all 1.5.66 1.5.66
2020-07-30 05:58:49 status half-configured debconf:all 1.5.66
2020-07-30 05:58:49 status unpacked debconf:all 1.5.66
2020-07-30 05:58:49 status half-installed debconf:all 1.5.66
2020-07-30 05:58:49 status half-installed debconf:all 1.5.66
2020-07-30 05:58:49 status unpacked debconf:all 1.5.66
2020-07-30 05:58:49 status unpacked debconf:all 1.5.66
2020-07-30 05:58:49 install debianutils:amd64 <none> 4.8.4
2020-07-30 05:58:49 status half-installed debianutils:amd64 4.8.4
2020-07-30 05:58:49 status unpacked debianutils:amd64 4.8.4
2020-07-30 05:58:49 status unpacked debianutils:amd64 4.8.4
2020-07-30 05:58:49 install diffutils:amd64 <none> 1:3.6-1
2020-07-30 05:58:49 status half-installed diffutils:amd64 1:3.6-1
2020-07-30 05:58:49 status unpacked diffutils:amd64 1:3.6-1
2020-07-30 05:58:50 status unpacked diffutils:amd64 1:3.6-1
2020-07-30 05:58:50 upgrade dpkg:amd64 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2020-07-30 05:58:50 status half-configured dpkg:amd64 1.19.0.5ubuntu2
2020-07-30 05:58:50 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2020-07-30 05:58:50 status half-installed dpkg:amd64 1.19.0.5ubuntu2
2020-07-30 05:58:50 status half-installed dpkg:amd64 1.19.0.5ubuntu2
2020-07-30 05:58:50 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2020-07-30 05:58:50 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2020-07-30 05:58:50 install e2fsprogs:amd64 <none> 1.44.1-1
2020-07-30 05:58:50 status half-installed e2fsprogs:amd64 1.44.1-1
2020-07-30 05:58:50 status unpacked e2fsprogs:amd64 1.44.1-1
2020-07-30 05:58:50 status unpacked e2fsprogs:amd64 1.44.1-1
2020-07-30 05:58:50 install fdisk:amd64 <none> 2.31.1-0.4ubuntu3
2020-07-30 05:58:50 status half-installed fdisk:amd64 2.31.1-0.4ubuntu3
2020-07-30 05:58:50 status unpacked fdisk:amd64 2.31.1-0.4ubuntu3
2020-07-30 05:58:50 status unpacked fdisk:amd64 2.31.1-0.4ubuntu3
2020-07-30 05:58:50 install findutils:amd64 <none> 4.6.0+git+20170828-2
2020-07-30 05:58:50 status half-installed findutils:amd64 4.6.0+git+20170828-2
2020-07-30 05:58:50 status unpacked findutils:amd64 4.6.0+git+20170828-2
2020-07-30 05:58:50 status unpacked findutils:amd64 4.6.0+git+20170828-2
2020-07-30 05:58:51 install gcc-8-base:amd64 <none> 8-20180414-1ubuntu2
2020-07-30 05:58:51 status half-installed gcc-8-base:amd64 8-20180414-1ubuntu2
2020-07-30 05:58:51 status unpacked gcc-8-base:amd64 8-20180414-1ubuntu2
2020-07-30 05:58:51 status unpacked gcc-8-base:amd64 8-20180414-1ubuntu2
2020-07-30 05:58:51 install grep:amd64 <none> 3.1-2
2020-07-30 05:58:51 status half-installed grep:amd64 3.1-2
2020-07-30 05:58:51 status unpacked grep:amd64 3.1-2
2020-07-30 05:58:51 status unpacked grep:amd64 3.1-2
2020-07-30 05:58:51 install gzip:amd64 <none> 1.6-5ubuntu1
2020-07-30 05:58:51 status half-installed gzip:amd64 1.6-5ubuntu1
2020-07-30 05:58:51 status unpacked gzip:amd64 1.6-5ubuntu1
2020-07-30 05:58:51 status unpacked gzip:amd64 1.6-5ubuntu1
2020-07-30 05:58:51 install hostname:amd64 <none> 3.20
2020-07-30 05:58:51 status half-installed hostname:amd64 3.20
2020-07-30 05:58:51 status unpacked hostname:amd64 3.20
2020-07-30 05:58:51 status unpacked hostname:amd64 3.20
2020-07-30 05:58:51 install init-system-helpers:all <none> 1.51
2020-07-30 05:58:51 status half-installed init-system-helpers:all 1.51
2020-07-30 05:58:51 status unpacked init-system-helpers:all 1.51
2020-07-30 05:58:51 status unpacked init-system-helpers:all 1.51
2020-07-30 05:58:51 install libacl1:amd64 <none> 2.2.52-3build1
2020-07-30 05:58:51 status half-installed libacl1:amd64 2.2.52-3build1
2020-07-30 05:58:51 status unpacked libacl1:amd64 2.2.52-3build1
2020-07-30 05:58:51 status unpacked libacl1:amd64 2.2.52-3build1
2020-07-30 05:58:51 install libattr1:amd64 <none> 1:2.4.47-2build1
2020-07-30 05:58:51 status half-installed libattr1:amd64 1:2.4.47-2build1
2020-07-30 05:58:51 status unpacked libattr1:amd64 1:2.4.47-2build1
2020-07-30 05:58:51 status unpacked libattr1:amd64 1:2.4.47-2build1
2020-07-30 05:58:51 install libaudit-common:all <none> 1:2.8.2-1ubuntu1
2020-07-30 05:58:51 status half-installed libaudit-common:all 1:2.8.2-1ubuntu1
2020-07-30 05:58:51 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2020-07-30 05:58:51 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2020-07-30 05:58:51 install libaudit1:amd64 <none> 1:2.8.2-1ubuntu1
2020-07-30 05:58:51 status half-installed libaudit1:amd64 1:2.8.2-1ubuntu1
2020-07-30 05:58:51 status unpacked libaudit1:amd64 1:2.8.2-1ubuntu1
2020-07-30 05:58:51 status unpacked libaudit1:amd64 1:2.8.2-1ubuntu1
2020-07-30 05:58:51 install libblkid1:amd64 <none> 2.31.1-0.4ubuntu3
2020-07-30 05:58:51 status half-installed libblkid1:amd64 2.31.1-0.4ubuntu3
2020-07-30 05:58:52 status unpacked libblkid1:amd64 2.31.1-0.4ubuntu3
2020-07-30 05:58:52 status unpacked libblkid1:amd64 2.31.1-0.4ubuntu3
2020-07-30 05:58:52 install libbz2-1.0:amd64 <none> 1.0.6-8.1
2020-07-30 05:58:52 status half-installed libbz2-1.0:amd64 1.0.6-8.1
2020-07-30 05:58:52 status unpacked libbz2-1.0:amd64 1.0.6-8.1
2020-07-30 05:58:52 status unpacked libbz2-1.0:amd64 1.0.6-8.1
2020-07-30 05:58:52 install libc-bin:amd64 <none> 2.27-3ubuntu1
2020-07-30 05:58:52 status half-installed libc-bin:amd64 2.27-3ubuntu1
2020-07-30 05:58:52 status unpacked libc-bin:amd64 2.27-3ubuntu1
2020-07-30 05:58:52 status unpacked libc-bin:amd64 2.27-3ubuntu1
2020-07-30 05:58:52 upgrade libc6:amd64 2.27-3ubuntu1 2.27-3ubuntu1
2020-07-30 05:58:52 status half-configured libc6:amd64 2.27-3ubuntu1
2020-07-30 05:58:52 status unpacked libc6:amd64 2.27-3ubuntu1
2020-07-30 05:58:52 status half-installed libc6:amd64 2.27-3ubuntu1
2020-07-30 05:58:53 status half-installed libc6:amd64 2.27-3ubuntu1
2020-07-30 05:58:53 status unpacked libc6:amd64 2.27-3ubuntu1
2020-07-30 05:58:53 status unpacked libc6:amd64 2.27-3ubuntu1
2020-07-30 05:58:53 install libcap-ng0:amd64 <none> 0.7.7-3.1
2020-07-30 05:58:53 status half-installed libcap-ng0:amd64 0.7.7-3.1
2020-07-30 05:58:53 status unpacked libcap-ng0:amd64 0.7.7-3.1
2020-07-30 05:58:54 status unpacked libcap-ng0:amd64 0.7.7-3.1
2020-07-30 05:58:54 install libcom-err2:amd64 <none> 1.44.1-1
2020-07-30 05:58:54 status half-installed libcom-err2:amd64 1.44.1-1
2020-07-30 05:58:54 status unpacked libcom-err2:amd64 1.44.1-1
2020-07-30 05:58:54 status unpacked libcom-err2:amd64 1.44.1-1
2020-07-30 05:58:54 install libdb5.3:amd64 <none> 5.3.28-13.1ubuntu1
2020-07-30 05:58:54 status half-installed libdb5.3:amd64 5.3.28-13.1ubuntu1
2020-07-30 05:58:54 status unpacked libdb5.3:amd64 5.3.28-13.1ubuntu1
2020-07-30 05:58:54 status unpacked libdb5.3:amd64 5.3.28-13.1ubuntu1
2020-07-30 05:58:54 install libdebconfclient0:amd64 <none> 0.213ubuntu1
2020-07-30 05:58:54 status half-installed libdebconfclient0:amd64 0.213ubuntu1
2020-07-30 05:58:54 status unpacked libdebconfclient0:amd64 0.213ubuntu1
2020-07-30 05:58:54 status unpacked libdebconfclient0:amd64 0.213ubuntu1
2020-07-30 05:58:54 install libext2fs2:amd64 <none> 1.44.1-1
2020-07-30 05:58:54 status half-installed libext2fs2:amd64 1.44.1-1
2020-07-30 05:58:54 status unpacked libext2fs2:amd64 1.44.1-1
2020-07-30 05:58:54 status unpacked libext2fs2:amd64 1.44.1-1
2020-07-30 05:58:54 install libfdisk1:amd64 <none> 2.31.1-0.4ubuntu3
2020-07-30 05:58:54 status half-installed libfdisk1:amd64 2.31.1-0.4ubuntu3
2020-07-30 05:58:54 status unpacked libfdisk1:amd64 2.31.1-0.4ubuntu3
2020-07-30 05:58:54 status unpacked libfdisk1:amd64 2.31.1-0.4ubuntu3
2020-07-30 05:58:54 install libgcc1:amd64 <none> 1:8-20180414-1ubuntu2
2020-07-30 05:58:54 status half-installed libgcc1:amd64 1:8-20180414-1ubuntu2
2020-07-30 05:58:54 status unpacked libgcc1:amd64 1:8-20180414-1ubuntu2
2020-07-30 05:58:54 status unpacked libgcc1:amd64 1:8-20180414-1ubuntu2
2020-07-30 05:58:54 install libgcrypt20:amd64 <none> 1.8.1-4ubuntu1
2020-07-30 05:58:54 status half-installed libgcrypt20:amd64 1.8.1-4ubuntu1
2020-07-30 05:58:55 status unpacked libgcrypt20:amd64 1.8.1-4ubuntu1
2020-07-30 05:58:55 status unpacked libgcrypt20:amd64 1.8.1-4ubuntu1
2020-07-30 05:58:55 install libgpg-error0:amd64 <none> 1.27-6
2020-07-30 05:58:55 status half-installed libgpg-error0:amd64 1.27-6
2020-07-30 05:58:55 status unpacked libgpg-error0:amd64 1.27-6
2020-07-30 05:58:55 status unpacked libgpg-error0:amd64 1.27-6
2020-07-30 05:58:55 install liblz4-1:amd64 <none> 0.0~r131-2ubuntu3
2020-07-30 05:58:55 status half-installed liblz4-1:amd64 0.0~r131-2ubuntu3
2020-07-30 05:58:55 status unpacked liblz4-1:amd64 0.0~r131-2ubuntu3
2020-07-30 05:58:55 status unpacked liblz4-1:amd64 0.0~r131-2ubuntu3
2020-07-30 05:58:55 install liblzma5:amd64 <none> 5.2.2-1.3
2020-07-30 05:58:55 status half-installed liblzma5:amd64 5.2.2-1.3
2020-07-30 05:58:55 status unpacked liblzma5:amd64 5.2.2-1.3
2020-07-30 05:58:55 status unpacked liblzma5:amd64 5.2.2-1.3
2020-07-30 05:58:55 install libmount1:amd64 <none> 2.31.1-0.4ubuntu3
2020-07-30 05:58:55 status half-installed libmount1:amd64 2.31.1-0.4ubuntu3
2020-07-30 05:58:55 status unpacked libmount1:amd64 2.31.1-0.4ubuntu3
2020-07-30 05:58:55 status unpacked libmount1:amd64 2.31.1-0.4ubuntu3
2020-07-30 05:58:55 install libncurses5:amd64 <none> 6.1-1ubuntu1
2020-07-30 05:58:55 status half-installed libncurses5:amd64 6.1-1ubuntu1
2020-07-30 05:58:55 status unpacked libncurses5:amd64 6.1-1ubuntu1
2020-07-30 05:58:55 status unpacked libncurses5:amd64 6.1-1ubuntu1
